0,dinka,20
1,chn,32
2,jpn,34
3,ako,37
4,arm,38
5,frl,62
6,fal,70
7,kea,72
8,wry,75
9,hak,77
10,miq,84
11,lbm1,87
12,smy,87
13,1112,88
14,ltn,88
15,nyz,88
16,1120,89
17,guc,89
18,yua,89
19,1111,90
20,aub,90
21,blu,90
22,frn,90
23,hni,90
24,spn,90
25,bra,91
26,cak1,91
27,kdb1,91
28,rmy1,91
29,afk,92
30,atj,92
31,bem,92
32,cln,92
33,eml,92
34,kqn,92
35,mam,92
36,moz,92
37,por,92
38,prv1,92
39,1115,93
40,bkl,93
41,brt,93
42,cjk,93
43,coi,93
44,czc,93
45,eng,93
46,inz,93
47,mlo,93
48,nyj,93
49,rrt,93
50,rum,93
51,ttm,93
52,tzm,93
53,wee,93
54,wls,93
55,1116,94
56,bcy,94
57,crs,94
58,dut,94
59,gag,94
60,ger,94
61,hat,94
62,lin,94
63,lux,94
64,mic,94
65,nyj1,94
66,rus,94
67,srd,94
68,swz1,94
69,tsh,94
70,blg,95
71,cab,95
72,fji,95
73,fri,95
74,gua,95
75,hna,95
76,mkj,95
77,trk,95
78,uzb,95
79,zuu,95
80,gac2,96
81,itn,96
82,ltn1,96
83,maz,96
84,pql,96
85,sco,96
86,ses,96
87,tob,96
88,zam,96
89,hwi,97
90,kkn,97
91,kng,97
92,lit,97
93,ppl,97
94,sua,97
95,tbz,97
96,tid,97
97,toi,97
98,top,97
99,1119,98
100,abk,98
101,auv1,98
102,cbs,98
103,ccx,98
104,cpp,98
105,gej,98
106,nso,98
107,tso,98
108,vmw,98
109,1118,99
110,aja,99
111,bci,99
112,hil,99
113,lue,99
114,mlo1,99
115,mxv,99
116,nba,99
117,xos,99
118,1117,100
119,frn1,100
120,hea,100
121,igr,100
122,mnf,100
123,mni,100
124,nel,100
125,rmn1,100
126,tht,100
127,tsw,100
128,1128,101
129,mbf,101
130,mpu,101
131,qec1,101
132,1114,102
133,arz,102
134,ceb,102
135,den,102
136,fum,102
137,fum1,102
138,ilo,102
139,kri,102
140,dyo,103
141,gkp1,103
142,kph,103
143,nze,103
144,qud1,103
145,som,103
146,tws3,103
147,gax,104
148,kbp,105
149,ztu1,105
150,grk,106
151,swd,106
152,tgl,106
153,bzc,107
154,mhj,107
155,ose,107
156,saj,107
157,bba,108
158,btb,108
159,cic,108
160,dum,108
161,edo,108
162,hms,108
163,ibb,108
164,jan,108
165,tiv,109
166,srt,110
167,suo,110
168,foa,111
169,kde,111
170,sso,111
171,tws1,111
172,pis,112
173,quy,112
174,kon,113
175,mex,113
176,pmp,113
177,gac1,114
178,pdg,115
179,quz,116
180,gli1,117
181,bpr,118
182,kas,118
183,chj,119
184,lap1,119
185,lpi,119
186,gln,120
187,pnf,120
188,lat,121
189,dga,122
190,mzm,122
191,slo,122
192,yps,122
193,mls,123
194,nyn1,123
195,plu,123
196,rhe,123
197,src1,123
198,src3,123
199,bsq,124
200,esg,124
201,est,124
202,pet,124
203,rud1,124
204,slv,124
205,gls,125
206,hng,125
207,ruw,125
208,src4,125
209,aln,126
210,mfy,126
211,aym,127
212,mli,127
213,toj,127
214,cjd,128
215,ewe,128
216,nrn,128
217,lub,129
218,src5,129
219,sud,129
220,fae,130
221,lia,130
222,shd,130
223,swa,130
224,ukr,130
225,dag,131
226,yor,131
227,csa,132
228,gun,132
229,pbb,132
230,frn2,133
231,qar,133
232,tru1,133
233,pcm,134
234,dns,135
235,hat1,135
236,mhm,135
237,rua1,136
238,mao,138
239,nrr,139
240,qej,139
241,pro,140
242,aru,142
243,ura,143
244,wol,143
245,ass,144
246,snn,145
247,nhn,146
248,yao,146
249,tej,148
250,koo1,153
251,tzc,155
252,yad,157
253,hva,158
254,qeg,160
255,agr,161
256,qed,161
257,qju,162
258,qei,164
259,fin,165
260,ice,168
261,amc,169
262,qan,172
263,not,177
264,qnt,190
265,tzc1,194
266,cbr,200
267,cot,201
268,huu,208
269,mcd,216
270,cpu,218
271,shp,221
272,ame,222
273,acu,227
274,cni,228
275,boa,248
276,cbt,249
277,amr,259
278,cbu,276
279,arl,281
280,mcf,316
